Time,Humidity,Temprature,HI,Lux
17:26,77.3,26.2,79.16,27.93
17:27,76.7,26.2,79.16,27.9
17:28,74.8,26.3,79.34,27.98
17:29,72.8,26.2,79.16,27.72
17:30,73.7,26.0,78.8,27.43
17:31,75.1,26.0,78.8,27.48
17:32,76.9,26.0,78.8,27.55
17:33,77.9,26.0,78.8,27.59
17:34,79.0,26.0,78.8,27.63
17:35,77.4,25.9,78.62,27.39
17:36,75.8,25.8,78.44,27.17
17:37,74.7,25.7,78.26,26.98
17:38,75.1,25.7,78.26,26.99
17:39,76.8,25.6,78.08,26.86
17:40,77.6,25.7,78.26,27.05
17:41,79.0,25.7,78.26,27.08
17:42,78.1,25.7,78.26,27.06
17:43,77.2,25.7,78.26,27.04
17:44,75.2,25.7,78.26,26.99
17:45,75.8,25.7,78.26,27.01
17:46,77.1,25.7,78.26,27.04
17:47,78.2,25.7,78.26,27.06
17:48,78.5,25.7,78.26,27.07
17:49,77.2,25.6,78.08,26.87
17:50,75.6,25.5,77.9,26.08
17:51,74.7,25.5,77.9,26.06
17:52,76.5,25.5,77.9,26.1
17:53,77.7,25.5,77.9,26.71
17:54,78.8,25.5,77.9,26.72
17:55,79.8,25.7,78.26,27.09
17:56,80.0,25.6,78.08,26.91
17:57,78.4,25.6,78.08,26.89
17:58,77.2,25.6,78.08,26.87
18:06,77.9,25.7,78.26,27.05
18:07,77.2,25.8,78.44,27.21
18:08,75.3,25.7,78.26,27.0
18:09,74.6,25.7,78.26,26.98
18:10,75.6,25.6,78.08,26.84
18:11,77.0,25.6,78.08,26.87
18:12,78.3,25.7,78.26,27.06
18:13,78.1,25.7,78.26,27.06
18:14,75.3,25.6,78.08,26.84
18:15,75.0,25.5,77.9,26.06
18:16,74.7,25.5,77.9,26.06
18:17,76.2,25.5,77.9,26.09
18:18,77.4,25.5,77.9,26.71
18:19,78.6,25.5,77.9,26.72
18:20,79.4,25.6,78.08,26.9
18:21,79.6,25.7,78.26,27.09
18:22,80.4,25.6,78.08,26.92
18:23,80.0,25.8,78.44,27.28
18:24,80.7,25.9,78.62,27.49
18:25,80.9,25.8,78.44,27.31
18:26,81.4,25.9,78.62,27.52
18:27,81.6,25.9,78.62,27.52
18:28,82.5,26.0,78.8,27.76
18:29,82.3,26.0,78.8,27.75
18:30,83.0,26.2,79.16,28.2
18:31,83.1,26.2,79.16,28.21
18:32,83.4,26.2,79.16,28.22
18:33,83.5,26.2,79.16,28.23
18:34,83.9,26.3,79.34,28.47
18:35,83.8,26.3,79.34,28.46
18:36,83.3,26.4,79.52,28.66
18:37,83.6,26.4,79.52,28.68
18:38,83.5,26.5,79.7,28.9
18:39,83.5,26.5,79.7,28.9
18:40,83.6,26.5,79.7,28.91
18:41,83.5,26.6,79.88,29.13
18:42,82.1,26.7,80.06,29.25
18:43,81.0,26.6,79.88,28.95
18:44,80.3,26.6,79.88,28.9
18:45,79.3,26.5,79.7,28.62
18:46,80.1,26.5,79.7,28.67
18:47,80.8,26.5,79.7,28.72
18:48,81.7,26.5,79.7,28.78
18:49,82.1,26.6,79.88,29.03
18:50,82.5,26.7,80.06,29.28
18:51,83.1,26.6,79.88,29.1
18:52,83.5,26.6,79.88,29.13
18:53,83.9,26.7,80.06,29.39
18:54,83.8,26.7,80.06,29.38
18:55,83.8,26.8,80.24,29.62
18:56,83.9,26.8,80.24,29.63
18:57,83.7,26.8,80.24,29.61
18:58,83.5,26.9,80.42,29.83
19:01,83.2,27.0,80.6,30.05
19:02,83.0,27.0,80.6,30.03
19:04,83.0,27.1,80.78,30.27
19:05,82.7,27.1,80.78,30.24
19:06,81.9,27.1,80.78,30.15
19:07,80.9,27.1,80.78,30.05
19:08,77.8,27.0,80.6,29.54
19:09,76.2,26.8,80.24,29.0
19:10,77.1,26.7,80.06,28.87
19:11,78.4,26.6,79.88,28.76
19:12,79.6,26.6,79.88,28.85
19:13,80.6,26.6,79.88,28.92
19:14,81.2,26.5,79.7,28.75
19:15,81.7,26.6,79.88,29.0
19:16,82.0,26.6,79.88,29.02
19:17,82.1,26.7,80.06,29.25
19:18,82.5,26.7,80.06,29.28
19:19,82.6,26.6,79.88,29.06
19:20,82.8,26.7,80.06,29.31
19:21,82.8,26.8,80.24,29.54
19:22,82.7,26.7,80.06,29.3
19:23,82.6,26.8,80.24,29.52
19:24,82.5,26.8,80.24,29.51
19:25,82.4,26.9,80.42,29.73
19:26,82.5,26.9,80.42,29.74
19:27,82.2,26.9,80.42,29.72
19:28,82.0,26.9,80.42,29.7
19:29,82.0,27.0,80.6,29.93
19:30,81.8,27.0,80.6,29.91
19:31,82.4,27.1,80.78,30.21
19:32,81.7,27.2,80.96,30.37
19:33,81.5,27.2,80.96,30.35
19:34,81.3,27.3,81.14,30.56
19:35,81.2,27.4,81.32,30.79
19:36,81.0,27.5,81.5,31.01
19:37,80.9,27.4,81.32,30.76
19:38,79.2,27.4,81.32,30.56
19:39,78.5,27.4,81.32,30.47
19:40,76.5,27.3,81.14,30.04
19:41,75.8,27.2,80.96,29.76
